Area,Age,Sex,Year at 30 June,Value,Flags
"Canterbury","65 Years and over","Male","2002",25300,
"Canterbury","65 Years and over","Male","2003",25800,
"Canterbury","65 Years and over","Male","2004",26400,
"Canterbury","65 Years and over","Male","2005",27200,
"Canterbury","65 Years and over","Male","2006",28200,
"Canterbury","65 Years and over","Male","2007",29100,
"Canterbury","65 Years and over","Male","2008",29800,
"Canterbury","65 Years and over","Male","2009",30600,
"Canterbury","65 Years and over","Male","2010",31400,
"Canterbury","65 Years and over","Male","2011",31500,
"Canterbury","65 Years and over","Male","2012",32400,
"Canterbury","65 Years and over","Male","2013",33700,
"Canterbury","65 Years and over","Male","2014",34900,
"Canterbury","65 Years and over","Male","2015",36200,
"Canterbury","65 Years and over","Male","2016",37400,
"Canterbury","65 Years and over","Male","2017",38500,
"Canterbury","65 Years and over","Male","2018",39200,
"Canterbury","65 Years and over","Male","2019",40500,
"Canterbury","65 Years and over","Male","2020",41900,
"Canterbury","65 Years and over","Female","1996",31900,
"Canterbury","65 Years and over","Female","1997",32200,
"Canterbury","65 Years and over","Female","1998",32500,
"Canterbury","65 Years and over","Female","1999",32800,
"Canterbury","65 Years and over","Female","2000",33100,
"Canterbury","65 Years and over","Female","2001",33500,
"Canterbury","65 Years and over","Female","2002",33800,
"Canterbury","65 Years and over","Female","2003",34200,
"Canterbury","65 Years and over","Female","2004",34800,
"Canterbury","65 Years and over","Female","2005",35500,
"Canterbury","65 Years and over","Female","2006",36400,
"Canterbury","65 Years and over","Female","2007",37100,
"Canterbury","65 Years and over","Female","2008",37500,
"Canterbury","65 Years and over","Female","2009",38100,
"Canterbury","65 Years and over","Female","2010",38800,
"Canterbury","65 Years and over","Female","2011",38400,
"Canterbury","65 Years and over","Female","2012",39100,
"Canterbury","65 Years and over","Female","2013",40200,
"Canterbury","65 Years and over","Female","2014",41300,
"Canterbury","65 Years and over","Female","2015",42700,
"Canterbury","65 Years and over","Female","2016",43900,
"Canterbury","65 Years and over","Female","2017",45000,
"Canterbury","65 Years and over","Female","2018",45800,
"Canterbury","65 Years and over","Female","2019",47100,
"Canterbury","65 Years and over","Female","2020",48800,
"Canterbury","65 Years and over","Total people, sex","1996",55200,
"Canterbury","65 Years and over","Total people, sex","1997",55800,
"Canterbury","65 Years and over","Total people, sex","1998",56400,
"Canterbury","65 Years and over","Total people, sex","1999",57000,
"Canterbury","65 Years and over","Total people, sex","2000",57600,
"Canterbury","65 Years and over","Total people, sex","2001",58300,
"Canterbury","65 Years and over","Total people, sex","2002",59100,
"Canterbury","65 Years and over","Total people, sex","2003",60100,
"Canterbury","65 Years and over","Total people, sex","2004",61200,
"Canterbury","65 Years and over","Total people, sex","2005",62700,
"Canterbury","65 Years and over","Total people, sex","2006",64600,
"Canterbury","65 Years and over","Total people, sex","2007",66200,
"Canterbury","65 Years and over","Total people, sex","2008",67300,
"Canterbury","65 Years and over","Total people, sex","2009",68600,
"Canterbury","65 Years and over","Total people, sex","2010",70200,
"Canterbury","65 Years and over","Total people, sex","2011",69900,
"Canterbury","65 Years and over","Total people, sex","2012",71400,
"Canterbury","65 Years and over","Total people, sex","2013",74000,
"Canterbury","65 Years and over","Total people, sex","2014",76200,
"Canterbury","65 Years and over","Total people, sex","2015",78900,
"Canterbury","65 Years and over","Total people, sex","2016",81300,
"Canterbury","65 Years and over","Total people, sex","2017",83400,
"Canterbury","65 Years and over","Total people, sex","2018",85000,
"Canterbury","65 Years and over","Total people, sex","2019",87600,
"Canterbury","65 Years and over","Total people, sex","2020",90700,
"South Canterbury","65 Years and over","Male","1996",3700,
"South Canterbury","65 Years and over","Male","1997",3800,
"South Canterbury","65 Years and over","Male","1998",3800,
"South Canterbury","65 Years and over","Male","1999",3900,
"South Canterbury","65 Years and over","Male","2000",3900,
"South Canterbury","65 Years and over","Male","2001",4000,
"South Canterbury","65 Years and over","Male","2002",4000,
"South Canterbury","65 Years and over","Male","2003",4100,
"South Canterbury","65 Years and over","Male","2004",4200,
"South Canterbury","65 Years and over","Male","2005",4300,
"South Canterbury","65 Years and over","Male","2006",4400,
"South Canterbury","65 Years and over","Male","2007",4500,
"South Canterbury","65 Years and over","Male","2008",4600,
"South Canterbury","65 Years and over","Male","2009",4700,
"South Canterbury","65 Years and over","Male","2010",4700,
"South Canterbury","65 Years and over","Male","2011",4900,
"South Canterbury","65 Years and over","Male","2012",5100,
"South Canterbury","65 Years and over","Male","2013",5300,
"South Canterbury","65 Years and over","Male","2014",5500,
"South Canterbury","65 Years and over","Male","2015",5600,
"South Canterbury","65 Years and over","Male","2016",5800,
"South Canterbury","65 Years and over","Male","2017",5900,
"South Canterbury","65 Years and over","Male","2018",6100,
"South Canterbury","65 Years and over","Male","2019",6200,
"South Canterbury","65 Years and over","Male","2020",6400,
"South Canterbury","65 Years and over","Female","1996",4900,
"South Canterbury","65 Years and over","Female","1997",5000,
"South Canterbury","65 Years and over","Female","1998",5000,
"South Canterbury","65 Years and over","Female","1999",5100,
"South Canterbury","65 Years and over","Female","2000",5100,
"South Canterbury","65 Years and over","Female","2001",5200,
"South Canterbury","65 Years and over","Female","2002",5200,
"South Canterbury","65 Years and over","Female","2003",5300,
"South Canterbury","65 Years and over","Female","2004",5400,
"South Canterbury","65 Years and over","Female","2005",5500,
"South Canterbury","65 Years and over","Female","2006",5600,
"South Canterbury","65 Years and over","Female","2007",5600,
"South Canterbury","65 Years and over","Female","2008",5600,
"South Canterbury","65 Years and over","Female","2009",5700,
"South Canterbury","65 Years and over","Female","2010",5800,
"South Canterbury","65 Years and over","Female","2011",5900,
"South Canterbury","65 Years and over","Female","2012",6100,
"South Canterbury","65 Years and over","Female","2013",6300,
"South Canterbury","65 Years and over","Female","2014",6400,
"South Canterbury","65 Years and over","Female","2015",6500,
"South Canterbury","65 Years and over","Female","2016",6600,
"South Canterbury","65 Years and over","Female","2017",6800,
"South Canterbury","65 Years and over","Female","2018",6800,
"South Canterbury","65 Years and over","Female","2019",7000,
"South Canterbury","65 Years and over","Female","2020",7100,
"South Canterbury","65 Years and over","Total people, sex","1996",8700,
"South Canterbury","65 Years and over","Total people, sex","1997",8800,
"South Canterbury","65 Years and over","Total people, sex","1998",8900,
"South Canterbury","65 Years and over","Total people, sex","1999",9000,
"South Canterbury","65 Years and over","Total people, sex","2000",9100,
"South Canterbury","65 Years and over","Total people, sex","2001",9200,
"South Canterbury","65 Years and over","Total people, sex","2002",9300,
"South Canterbury","65 Years and over","Total people, sex","2003",9300,
"South Canterbury","65 Years and over","Total people, sex","2004",9500,
"South Canterbury","65 Years and over","Total people, sex","2005",9700,
"South Canterbury","65 Years and over","Total people, sex","2006",9900,
"South Canterbury","65 Years and over","Total people, sex","2007",10100,
"South Canterbury","65 Years and over","Total people, sex","2008",10200,
"South Canterbury","65 Years and over","Total people, sex","2009",10300,
"South Canterbury","65 Years and over","Total people, sex","2010",10500,
"South Canterbury","65 Years and over","Total people, sex","2011",10800,
"South Canterbury","65 Years and over","Total people, sex","2012",11200,
"South Canterbury","65 Years and over","Total people, sex","2013",11600,
"South Canterbury","65 Years and over","Total people, sex","2014",11900,
"South Canterbury","65 Years and over","Total people, sex","2015",12100,
"South Canterbury","65 Years and over","Total people, sex","2016",12400,
"South Canterbury","65 Years and over","Total people, sex","2017",12700,
"South Canterbury","65 Years and over","Total people, sex","2018",12900,
"South Canterbury","65 Years and over","Total people, sex","2019",13200,
"South Canterbury","65 Years and over","Total people, sex","2020",13400,
"Southern","65 Years and over","Male","1996",15600,
"Southern","65 Years and over","Male","1997",15700,
"Southern","65 Years and over","Male","1998",15800,
"Southern","65 Years and over","Male","1999",16000,
"Southern","65 Years and over","Male","2000",16200,
"Southern","65 Years and over","Male","2001",16500,
"Southern","65 Years and over","Male","2002",16700,
"Southern","65 Years and over","Male","2003",17000,
"Southern","65 Years and over","Male","2004",17200,
"Southern","65 Years and over","Male","2005",17500,
"Southern","65 Years and over","Male","2006",18100,
"Southern","65 Years and over","Male","2007",18500,
"Southern","65 Years and over","Male","2008",18900,
"Southern","65 Years and over","Male","2009",19300,
"Southern","65 Years and over","Male","2010",19800,
"Southern","65 Years and over","Male","2011",20500,
"Southern","65 Years and over","Male","2012",21300,
"Southern","65 Years and over","Male","2013",22100,
"Southern","65 Years and over","Male","2014",22900,
"Southern","65 Years and over","Male","2015",23600,
"Southern","65 Years and over","Male","2016",24400,
"Southern","65 Years and over","Male","2017",25200,
"Southern","65 Years and over","Male","2018",25900,
"Southern","65 Years and over","Male","2019",26800,
"Southern","65 Years and over","Male","2020",27800,
"Southern","65 Years and over","Female","1996",21300,
"Southern","65 Years and over","Female","1997",21300,
"Southern","65 Years and over","Female","1998",21300,
"Southern","65 Years and over","Female","1999",21300,
"Southern","65 Years and over","Female","2000",21400,
"Southern","65 Years and over","Female","2001",21700,
"Southern","65 Years and over","Female","2002",21800,
"Southern","65 Years and over","Female","2003",21900,
"Southern","65 Years and over","Female","2004",22100,
"Southern","65 Years and over","Female","2005",22300,
"Southern","65 Years and over","Female","2006",22700,
"Southern","65 Years and over","Female","2007",22900,
"Southern","65 Years and over","Female","2008",23100,
"Southern","65 Years and over","Female","2009",23300,
"Southern","65 Years and over","Female","2010",23600,
"Southern","65 Years and over","Female","2011",24100,
"Southern","65 Years and over","Female","2012",24800,
"Southern","65 Years and over","Female","2013",25500,
"Southern","65 Years and over","Female","2014",26300,
"Southern","65 Years and over","Female","2015",26900,
"Southern","65 Years and over","Female","2016",27600,
"Southern","65 Years and over","Female","2017",28400,
"Southern","65 Years and over","Female","2018",29100,
"Southern","65 Years and over","Female","2019",29900,
"Southern","65 Years and over","Female","2020",30800,
"Southern","65 Years and over","Total people, sex","1996",36900,
"Southern","65 Years and over","Total people, sex","1997",37000,
"Southern","65 Years and over","Total people, sex","1998",37100,
"Southern","65 Years and over","Total people, sex","1999",37300,
"Southern","65 Years and over","Total people, sex","2000",37600,
"Southern","65 Years and over","Total people, sex","2001",38200,
"Southern","65 Years and over","Total people, sex","2002",38500,
"Southern","65 Years and over","Total people, sex","2003",38900,
"Southern","65 Years and over","Total people, sex","2004",39300,
"Southern","65 Years and over","Total people, sex","2005",39800,
"Southern","65 Years and over","Total people, sex","2006",40700,
"Southern","65 Years and over","Total people, sex","2007",41500,
"Southern","65 Years and over","Total people, sex","2008",41900,
